X,Y,Z,formation,series
617399.3862830738,2477131.4104702557,464.0,01_Unit_1_interf,Default series
617137.0356914606,2477069.615217717,471.0,01_Unit_1_interf,Default series
616967.0074156884,2476719.3276101425,452.0,01_Unit_1_interf,Default series
617256.2828072347,2476661.084951401,555.0,01_Unit_1_interf,Default series
617629.4528970995,2476742.5581320515,571.0,01_Unit_1_interf,Default series
614717.7805804671,2474934.854955696,386.0,02_Unit_2_interf,Default series
614945.1442631709,2475367.2462968943,450.0,02_Unit_2_interf,Default series
615106.8111572101,2475717.462335182,513.0,02_Unit_2_interf,Default series
615376.9666828678,2476089.4667998855,593.0,02_Unit_2_interf,Default series
615835.7429649935,2476429.4001196953,744.0,02_Unit_2_interf,Default series
616182.630104957,2476825.467039631,746.0,02_Unit_2_interf,Default series
616666.1737812348,2477563.9792915424,660.0,02_Unit_2_interf,Default series
615376.9887689278,2474547.3592933463,456.0,02_Unit_2_interf,Default series
615688.4593140398,2474776.4488440366,515.0,02_Unit_2_interf,Default series
616409.5472649916,2475272.3869554624,605.0,02_Unit_2_interf,Default series
616768.1198823187,2475662.9146632846,707.0,02_Unit_2_interf,Default series
617163.8083406324,2476144.435153873,757.0,02_Unit_2_interf,Default series
617483.3173367886,2476501.2659305497,698.0,02_Unit_2_interf,Default series
619046.1023740378,2477628.9023818052,583.0,02_Unit_2_interf,Default series
618955.0722604017,2477058.302614823,661.0,02_Unit_2_interf,Default series
619643.474429709,2476805.9786415068,579.0,02_Unit_2_interf,Default series
614337.5739284508,2474668.2316362862,357.0,03_Unit_3_interf,Default series
614449.017191798,2475332.428165553,433.0,03_Unit_3_interf,Default series
614754.2633938622,2476078.3773630997,500.0,03_Unit_3_interf,Default series
615255.4688942373,2476708.4100456815,523.0,03_Unit_3_interf,Default series
615811.8674171761,2477357.503206695,542.0,03_Unit_3_interf,Default series
616199.3281153075,2478110.6060751183,487.0,03_Unit_3_interf,Default series
619488.9194071887,2478573.5648376746,456.0,03_Unit_3_interf,Default series
619611.2458462155,2478236.257119561,522.0,03_Unit_3_interf,Default series
619667.5807523241,2477828.1420179964,546.0,03_Unit_3_interf,Default series
619837.037800964,2477427.4590157615,549.0,03_Unit_3_interf,Default series
620456.322647156,2476765.21149686,444.0,03_Unit_3_interf,Default series
620613.9916449401,2476127.745295329,350.0,03_Unit_3_interf,Default series
619035.2127159453,2476334.0751557155,527.0,03_Unit_3_interf,Default series
618992.5737771415,2475635.545895683,383.0,03_Unit_3_interf,Default series
618431.4920543779,2475326.3859941373,385.0,03_Unit_3_interf,Default series
617494.4119161135,2474757.8826660025,355.0,03_Unit_3_interf,Default series
616510.4186078648,2474271.7222516285,354.0,03_Unit_3_interf,Default series
615867.7860280345,2474384.576189449,433.0,03_Unit_3_interf,Default series
615197.9742398692,2474009.6511557186,353.0,03_Unit_3_interf,Default series
614146.5635600385,2474812.431678913,414.0,04_Unit_4_interf,Default series
614208.4559349199,2475258.366798707,503.0,04_Unit_4_interf,Default series
614559.648333771,2475981.445996205,576.0,04_Unit_4_interf,Default series
614953.9310439788,2476794.76327367,517.0,04_Unit_4_interf,Default series
615343.2713829449,2477015.1833929927,622.0,04_Unit_4_interf,Default series
615620.7767243178,2477479.8048403775,652.0,04_Unit_4_interf,Default series
615874.9023470297,2478292.458370688,493.0,04_Unit_4_interf,Default series
619437.488189146,2479003.2992968187,432.0,04_Unit_4_interf,Default series
619729.50962634,2478294.6814967073,574.0,04_Unit_4_interf,Default series
619935.1037501068,2477651.9084952557,647.0,04_Unit_4_interf,Default series
620487.072782758,2477051.8203858924,584.0,04_Unit_4_interf,Default series
620709.0169636435,2476679.8106658948,516.0,04_Unit_4_interf,Default series
620814.6112967036,2476154.7286862773,400.0,04_Unit_4_interf,Default series
619171.1797466794,2476259.270187293,581.0,04_Unit_4_interf,Default series
619349.5518888846,2475609.421805764,436.0,04_Unit_4_interf,Default series
618562.6290920761,2475138.938970168,465.0,04_Unit_4_interf,Default series
618393.02370832,2474619.0560343405,361.0,04_Unit_4_interf,Default series
617936.0225947229,2474713.992197717,431.0,04_Unit_4_interf,Default series
617396.3072419473,2474463.8500330257,417.0,04_Unit_4_interf,Default series
617135.9256530198,2474104.094741982,385.0,04_Unit_4_interf,Default series
616633.8662222148,2474098.0345968576,391.0,04_Unit_4_interf,Default series
616040.9052318633,2474211.2889829553,500.0,04_Unit_4_interf,Default series
615735.772262414,2473834.48753114,362.0,04_Unit_4_interf,Default series
615010.0285662871,2473773.6790114995,398.0,04_Unit_4_interf,Default series
