X,Y,Z,azimuth,dip,polarity,formation
617696.453229,2474940.370162,308.800893,225.144000,45.000000,1,Natih
620319.570839,2477550.372184,413.925893,45.144000,27.350000,1,Natih
617230.014938,2474451.806302,353.613245,132.438000,47.203000,1,Natih
614911.308197,2476571.933625,353.613245,312.438000,57.848000,1,Natih
621055.300000,2476423.600000,386.800000,95.420000,40.670000,1,Natih
620946.800000,2477202.100000,422.900000,64.090000,31.270000,1,Natih
620654.000000,2477876.900000,400.800000,35.630000,23.690000,1,Natih
615165.000000,2477880.400000,430.000000,295.930000,28.750000,1,Natih
615490.600000,2478291.300000,435.000000,295.540000,28.590000,1,Natih
