X,Y,Z,formation
620092.283686,2477324.221467,513.793893,Natih
617782.151466,2475025.639908,440.206893,Natih
619183.965471,2475846.081501,398.768899,Natih
616160.126130,2478547.768467,450.357899,Natih
617159.751209,2474516.052482,358.624245,Natih
614933.496976,2476551.645144,418.755245,Natih
614146.600000,2474812.400000,414.000000,Natih
614208.500000,2475258.400000,503.000000,Natih
614559.600000,2475981.400000,576.000000,Natih
614953.900000,2476794.800000,517.000000,Natih
615343.300000,2477015.200000,622.000000,Natih
615620.800000,2477479.800000,652.000000,Natih
615874.900000,2478292.500000,493.000000,Natih
619437.500000,2479003.300000,432.000000,Natih
619729.500000,2478294.700000,574.000000,Natih
619935.100000,2477651.900000,647.000000,Natih
620487.100000,2477051.800000,584.000000,Natih
620709.000000,2476679.800000,516.000000,Natih
620814.600000,2476154.700000,400.000000,Natih
619171.200000,2476259.300000,581.000000,Natih
619349.600000,2475609.400000,436.000000,Natih
618562.600000,2475138.900000,465.000000,Natih
618393.000000,2474619.100000,361.000000,Natih
617936.000000,2474714.000000,431.000000,Natih
617396.300000,2474463.900000,417.000000,Natih
617135.900000,2474104.100000,385.000000,Natih
616633.900000,2474098.000000,391.000000,Natih
616040.900000,2474211.300000,500.000000,Natih
615735.800000,2473834.500000,362.000000,Natih
615010.000000,2473773.700000,398.000000,Natih
616627.225679,2475002.971292,518.974245,Kharaib_NahrUmr
615170.175071,2476335.236709,559.062245,Kharaib_NahrUmr
616213.038090,2475381.686896,518.974245,Salil_Lekhwair
615628.738742,2475915.945494,559.062245,Salil_Lekhwair
617399.400000,2477131.400000,464.000000,Salil_Lekhwair
617137.000000,2477069.600000,471.000000,Salil_Lekhwair
616967.000000,2476719.300000,452.000000,Salil_Lekhwair
617256.300000,2476661.100000,555.000000,Salil_Lekhwair
617629.500000,2476742.600000,571.000000,Salil_Lekhwair
