X,Y,Z,dip,azimuth,polarity,formation,series,formation number,G_x,G_y,G_z
615183.7339335057,2477097.3615469174,572.0,27.428242099855485,288.472675103211,1,Unit1,Default series,1,-0.43690295079126695,0.1459540291358894,0.8875884367030047
614647.279336505,2476290.132218901,557.6666666666666,23.507281340018775,308.67739243992986,1,Unit1,Default series,1,-0.31138522782443406,0.24926494691118484,0.9170093926095247
614256.3342598885,2475691.050492437,543.0,52.330346116553535,328.3573985941957,1,Unit1,Default series,1,-0.41526079804669713,0.6738735898273063,0.6111078910788829
616420.3806794848,2473870.9441203787,388.0,6.467955543833874,136.77090360065154,1,Unit1,Default series,1,0.0771542180478737,-0.0820773302374196,0.9936350127177075
618183.856492662,2475223.6613892005,402.3333333333333,21.86475470773644,185.1068838037406,1,Unit1,Default series,1,-0.0331503101985119,-0.3709386023735951,0.9280655204256143
619211.2483453454,2475210.2405239153,429.0,14.794854002132178,170.4111384141488,1,Unit1,Default series,1,0.04253693949109233,-0.2517911591897192,0.9668463274650365
619478.2256040414,2476052.442589467,517.0,15.598624332199645,92.22921513963509,1,Unit1,Default series,1,0.26869319742526254,-0.010459363111315184,0.963169023266786
620863.7340041435,2476431.8384785247,466.3333333333333,40.970061412182346,149.39677346386475,1,Unit1,Default series,1,0.3337922083227831,-0.5643392663474242,0.7550522856871906
620538.5914406049,2477717.513365503,472.0,40.67759841822354,53.070460596046225,1,Unit1,Default series,1,0.5210341736465552,0.3916237425829765,0.7583892365650727
617394.1109628949,2478449.54402447,584.6666666666666,24.025523177825967,340.9115268601389,1,Unit1,Default series,1,-0.1331472549868561,0.3847566528775076,0.9133641806836758
615777.5549922191,2478023.1924986527,597.6666666666666,18.026910891532978,289.8550852824262,1,Unit1,Default series,1,-0.29106748525137655,0.10510696172197544,0.9509112711641475
